shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
86.59,-105.89,97.36,80.57,98.51,2.91
86.59,-105.89,97.36,80.57,98.51,2.91
86.59,-105.89,97.36,80.57,98.51,2.91
86.59,-105.89,97.36,80.57,98.51,2.91
86.51,-105.89,97.36,80.57,98.51,2.91
86.51,-105.89,97.36,80.48,98.51,2.91
86.51,-105.63,97.27,80.92,98.59,2.91
86.42,-105.10,96.84,80.92,98.59,2.91
86.33,-103.78,94.46,80.92,98.59,2.91
86.33,-100.62,90.07,80.92,98.59,2.91
86.33,-95.69,84.70,81.01,98.59,2.91
86.33,-89.10,78.11,81.01,98.59,2.91
86.33,-81.27,71.52,81.01,98.59,2.91
86.33,-72.57,64.48,81.01,98.59,2.91
86.33,-63.96,57.27,81.01,98.59,2.91
86.24,-55.16,49.80,81.01,98.59,2.91
86.24,-46.73,42.59,81.01,98.59,2.91
86.24,-39.16,35.65,81.01,98.59,2.91
86.24,-31.87,28.79,81.01,98.59,2.91
86.24,-25.36,22.64,81.01,98.59,2.91
86.24,-18.86,16.84,81.01,98.59,2.91
86.24,-13.05,11.91,81.10,98.59,2.91
86.42,-7.69,7.60,81.10,98.59,2.91
86.42,-2.86,4.18,81.10,98.59,2.91
86.51,1.54,1.45,81.10,98.59,2.91
86.51,5.32,-0.48,81.10,98.68,2.91
86.51,8.75,-1.63,81.01,98.86,2.91
86.51,11.74,-2.24,80.92,98.95,2.91
86.51,14.02,-2.59,80.92,98.95,2.91
86.42,15.16,-2.77,80.92,98.95,2.91
86.42,15.25,-2.77,80.92,98.95,2.91
86.51,15.25,-2.77,80.92,98.95,2.91
86.51,15.25,-2.77,80.92,98.95,2.91
86.51,15.25,-2.77,80.92,98.95,2.91
86.33,15.43,-2.68,80.92,98.86,2.91
86.33,15.25,-2.68,80.48,98.95,2.91
86.33,15.25,-2.68,80.48,98.95,2.91
86.51,15.25,-2.68,80.40,98.95,2.91
86.59,15.43,-2.68,80.40,98.68,2.91
86.59,15.69,-2.68,80.31,98.68,2.91
86.59,15.69,-2.68,80.31,98.77,2.91
86.59,15.69,-2.68,80.31,98.77,2.91
86.59,15.69,-2.68,80.31,98.77,2.97
86.59,15.69,-2.68,80.31,98.86,3.28
86.59,15.34,-2.68,80.57,98.86,4.33
86.59,15.25,-2.68,80.84,98.86,6.38
86.68,15.25,-2.68,80.84,98.77,9.29
86.68,15.60,-2.68,80.57,98.68,12.76
86.68,15.69,-2.68,80.48,98.68,16.22
