shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
93.10,-106.07,95.52,79.52,70.73,5.26
93.10,-106.07,95.52,79.52,70.73,5.26
93.10,-106.07,95.52,79.52,70.73,5.26
93.10,-106.07,95.52,79.52,70.73,5.26
93.10,-106.07,95.52,79.52,70.73,5.26
93.01,-106.15,95.52,79.52,70.73,5.33
92.92,-106.24,95.52,79.34,70.73,5.33
92.84,-105.89,94.73,79.08,70.73,5.33
92.75,-105.54,91.91,78.90,70.73,5.33
92.75,-104.13,86.11,78.99,70.64,5.33
92.75,-100.35,78.90,79.25,70.64,5.33
92.66,-93.93,71.16,79.52,70.64,5.33
92.66,-86.02,63.08,79.52,70.64,5.33
92.66,-77.93,54.99,79.69,70.64,5.33
92.57,-70.46,47.34,79.69,70.64,5.33
92.57,-64.22,40.92,79.69,70.64,5.33
92.57,-59.03,35.30,79.69,70.64,5.33
92.57,-54.90,30.90,79.69,70.64,5.33
92.66,-51.21,28.18,79.69,70.64,5.33
92.66,-47.08,27.56,79.69,70.64,5.33
92.84,-42.33,27.47,79.60,70.64,5.33
92.84,-37.14,27.38,79.52,70.64,5.33
92.84,-32.31,27.21,79.16,70.64,5.33
92.84,-27.74,27.03,79.08,70.64,5.33
92.66,-24.57,26.86,79.08,70.64,5.33
92.66,-22.64,26.86,79.08,70.64,5.33
92.66,-22.11,27.03,79.08,70.73,5.33
92.66,-22.11,27.03,79.08,70.99,5.33
92.13,-22.11,27.12,79.08,70.99,5.33
89.76,-22.11,27.03,79.08,70.99,5.33
85.36,-22.20,26.95,79.08,70.99,5.33
79.47,-22.20,26.95,78.99,70.99,5.33
72.88,-22.20,27.03,78.99,70.99,5.33
66.73,-22.20,27.03,78.99,70.81,5.39
60.48,-22.20,27.03,78.99,70.73,5.39
53.36,-22.20,26.95,78.99,70.73,5.39
44.84,-22.20,26.95,78.99,70.73,5.39
36.66,-22.20,26.95,78.99,70.73,5.39
28.48,-22.20,26.95,78.99,70.73,5.39
20.13,-22.11,26.95,79.08,70.73,5.39
11.69,-22.11,26.95,79.08,70.73,5.39
2.81,-22.11,26.86,79.08,70.73,5.39
