shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
85.45,-107.56,95.69,79.87,70.99,3.59
85.45,-107.56,95.69,79.87,70.99,3.59
85.54,-107.56,95.69,79.87,70.99,3.59
85.54,-107.47,95.69,79.87,70.99,3.59
85.54,-107.47,95.69,79.87,70.99,3.59
85.54,-107.47,95.69,79.87,70.99,3.59
85.54,-107.56,95.69,79.87,70.99,3.59
85.54,-107.56,95.69,79.87,70.99,3.59
85.45,-107.56,95.69,79.87,70.99,3.59
85.45,-107.56,95.69,79.87,70.99,3.59
85.45,-107.56,95.69,79.87,70.90,3.59
85.45,-107.56,95.43,79.87,70.81,3.34
85.54,-107.56,95.08,79.87,70.90,3.34
85.54,-107.03,93.85,79.87,70.99,3.28
85.54,-104.57,90.15,79.87,70.99,3.28
85.54,-99.21,85.49,79.96,70.90,3.28
85.54,-91.56,79.52,80.04,70.90,3.28
85.54,-82.95,72.40,80.31,70.81,3.28
85.54,-73.71,64.66,80.31,70.73,3.28
85.54,-65.54,57.01,80.31,70.73,3.28
85.63,-57.89,49.80,80.40,70.73,3.28
85.63,-50.86,43.30,80.40,70.73,3.28
85.63,-44.79,37.49,80.40,70.73,3.28
85.63,-39.08,32.66,80.48,70.73,3.28
85.63,-34.33,29.14,80.48,70.73,3.28
85.63,-30.55,27.38,80.48,70.73,3.28
85.63,-27.82,26.86,80.40,70.73,3.28
85.63,-26.33,26.86,80.40,70.73,3.41
85.63,-26.07,27.03,80.31,70.73,3.47
85.54,-26.15,27.30,80.40,70.73,3.53
85.36,-26.33,27.21,80.40,70.64,3.53
85.19,-26.68,27.03,80.40,70.64,3.53
84.31,-27.82,26.95,80.04,70.64,3.53
81.67,-28.79,27.30,80.31,70.64,3.53
77.45,-29.14,27.47,80.40,70.64,3.53
72.09,-29.23,27.47,80.40,70.64,3.53
65.32,-29.23,27.38,80.40,70.64,3.53
58.20,-29.23,27.38,80.40,70.64,3.53
50.99,-29.23,27.38,80.40,70.64,3.53
43.87,-29.32,27.38,80.40,70.64,3.53
35.96,-29.32,27.38,80.40,70.64,3.53
27.60,-29.32,27.30,80.40,70.64,3.53
18.64,-29.23,27.21,80.40,70.64,3.53
8.62,-29.14,27.21,80.31,70.64,3.53
-2.11,-29.05,27.21,80.04,70.64,3.53
-13.36,-29.05,27.21,80.13,70.64,3.53
-24.53,-29.05,27.21,79.96,70.64,3.53
-35.08,-29.14,27.21,79.96,70.64,3.53
-45.19,-29.14,27.12,79.96,70.64,3.53
-53.98,-29.14,27.12,80.22,70.90,3.53
-60.92,-29.05,27.21,80.40,70.73,3.53
-65.93,-29.05,27.30,80.04,70.64,3.53
-69.63,-29.05,27.38,79.96,70.64,3.53
-74.90,-29.05,27.38,79.87,70.73,3.53
-81.14,-28.88,27.21,79.87,70.99,3.53
-88.00,-28.79,27.21,79.78,70.99,3.53
-94.86,-28.62,27.21,79.78,70.99,3.53
-100.57,-28.53,27.30,79.78,70.99,3.53
-104.88,-28.53,27.30,79.78,71.08,3.53
-107.25,-28.62,27.38,79.78,71.08,3.53
-107.25,-28.62,27.38,79.78,71.08,3.53
-107.25,-28.62,27.38,79.78,70.99,3.53
-107.60,-28.62,27.38,79.78,70.90,3.53
-107.69,-28.62,27.74,79.78,70.99,3.53
-107.78,-28.53,27.65,79.78,70.99,3.53
-107.60,-28.53,27.56,79.78,70.99,3.53
-107.43,-28.53,27.47,79.78,71.08,3.53
-107.25,-28.44,27.47,79.69,71.16,3.59
-107.16,-28.18,27.38,79.08,71.25,3.59
-107.16,-27.30,27.38,77.32,71.34,3.59
-107.25,-25.63,27.47,75.56,71.87,3.72
-107.25,-22.64,27.47,73.89,73.80,3.72
-107.08,-18.59,27.30,72.40,76.97,4.02
-107.08,-15.25,27.30,71.96,81.10,5.26
-106.99,-12.88,27.30,71.60,85.23,7.37
-106.99,-11.74,27.21,71.43,88.66,10.28
-106.64,-11.47,26.33,71.34,90.59,13.75
-104.79,-11.38,24.48,71.43,91.21,17.77
-102.15,-11.30,23.34,71.43,91.21,21.73
-100.13,-11.03,23.16,71.34,91.56,25.45
-99.25,-10.15,22.99,71.34,91.56,28.85
-99.08,-8.31,22.81,71.34,91.65,31.58
-98.99,-6.46,22.81,71.34,91.65,33.25
-98.46,-4.97,22.81,71.25,91.38,33.81
-97.41,-3.47,22.64,70.81,91.47,33.99
-96.62,-2.42,22.64,69.41,91.47,34.06
-96.44,-1.80,22.64,67.56,91.47,34.06
-96.44,-1.36,22.81,65.71,91.56,34.06
-96.44,-1.19,22.99,64.40,91.56,34.06
-96.53,-1.19,23.08,64.04,91.56,34.06
-96.53,-1.19,23.08,64.04,91.56,34.06
-96.53,-1.19,23.08,64.04,91.56,34.06
-96.44,-1.19,23.08,64.13,91.56,33.99
-96.35,-1.19,23.16,64.13,91.56,33.87
-96.35,-1.19,23.16,64.13,91.56,33.87
-96.35,-1.19,23.16,64.13,91.56,33.87
-96.35,-1.19,23.16,64.04,91.56,33.87
-96.35,-1.10,23.08,64.04,91.56,33.81
-96.35,-1.10,23.16,64.04,91.56,33.81
-96.35,-1.10,23.16,64.04,91.56,33.81
-96.35,-1.10,23.16,64.04,91.56,33.81
-96.35,-1.10,23.16,64.04,91.56,33.81
-96.35,-1.10,23.08,64.04,91.56,33.81
-96.35,-1.10,23.08,64.04,91.56,33.81
-96.35,-1.10,23.16,64.04,91.56,33.81
-96.35,-1.10,23.16,64.04,91.56,33.81
-96.35,-1.10,23.16,64.04,91.56,33.81
-96.35,-1.10,23.08,64.04,91.56,33.81
-96.35,-1.10,22.99,64.04,91.56,33.81
-96.35,-1.10,22.99,64.04,91.56,33.81
-96.35,-1.10,22.99,64.04,91.56,33.75
-96.35,-1.10,22.99,64.04,91.38,33.68
-96.35,-1.10,22.99,64.04,91.30,33.56
-96.35,-1.10,22.99,64.04,91.21,32.32
-96.35,-1.10,22.99,64.04,91.21,29.54
-96.35,-1.10,22.99,64.04,91.21,25.08
-96.44,-1.10,22.99,64.04,91.21,19.38
-96.53,-1.10,22.99,64.04,91.21,12.88
-96.79,-1.10,22.99,64.04,91.38,5.33
-96.88,-1.10,22.90,64.04,91.38,1.05
-96.88,-1.10,22.90,64.04,91.38,1.36
-96.79,-1.10,22.90,64.04,91.21,2.41
-96.70,-1.10,22.99,64.04,91.21,2.72
-96.62,-1.10,22.99,64.04,91.21,2.72
-96.62,-1.10,22.99,64.04,91.21,2.72
-96.62,-1.10,22.99,64.04,91.12,2.72
-96.62,-1.10,22.99,64.04,91.12,2.72
-96.62,-1.10,22.99,64.04,91.12,2.72
-96.62,-1.10,22.99,64.04,91.12,2.72
-96.62,-1.10,22.90,64.04,91.12,2.72
-96.62,-1.19,22.81,64.40,91.12,2.72
-96.70,-1.80,22.73,64.40,91.12,2.72
-96.53,-2.42,22.46,64.48,91.38,2.72
-96.53,-4.97,21.23,64.31,91.56,2.72
-96.53,-8.92,19.30,64.57,91.56,2.72
-96.53,-13.41,17.63,64.66,91.56,2.72
-96.53,-19.30,16.31,64.66,91.65,2.72
-96.44,-25.89,15.43,64.66,91.65,2.72
-96.44,-32.75,15.08,64.66,91.65,2.72
-96.35,-40.40,15.08,64.66,91.65,2.72
-96.35,-47.60,15.08,64.66,91.65,2.72
-96.35,-54.90,15.25,64.66,91.65,2.72
-96.35,-62.46,15.60,64.75,91.65,2.72
-96.44,-68.97,16.75,65.36,91.65,2.72
-96.53,-74.59,18.95,66.59,91.65,2.72
-96.53,-79.69,21.32,67.91,91.56,2.79
-96.53,-83.38,23.43,68.44,91.38,2.79
-96.62,-85.93,25.27,68.53,91.30,2.85
-96.79,-87.34,26.51,68.53,91.21,2.97
-96.79,-88.22,27.47,68.53,91.21,3.03
-96.79,-88.31,28.00,68.53,91.21,3.03
